,Pays,Cluster,Popul_Croiss 2019-2018,Prot_Proport Anim/Total En %,Prot_Dispo,Kcal_Dispo/Jour,Importations_Volailles_2018,PIB PPA
0,Afghanistan,1,2.3404713225008145,18.55258590767095,57.62,2270.0,25.0,2065.0
1,Afrique du Sud,2,1.323689720208332,43.98999374609131,79.95,2900.0,515.0,12481.8
2,Albanie,5,-0.06937218175511184,53.91088670387102,112.89,3296.0,12.0,13671.5
3,Algérie,2,1.953680022733728,26.91327943293831,90.29,3382.0,0.0,11510.6
4,Allemagne,3,0.47278764255811456,61.00473933649289,105.5,3556.0,871.0,53639.3
5,Angola,1,3.2943849399545533,30.985130111524168,53.8,2451.0,335.0,6670.3
6,Antigua-et-Barbuda,2,1.041666666666674,63.69812252964427,80.96,2470.0,7.0,21548.7
7,Arabie saoudite,3,1.6793757232293816,37.61838761838762,86.58,3308.0,640.0,46962.1
8,Argentine,5,0.9467775748968732,64.37459673702645,108.49,3307.0,13.0,22063.9
9,Arménie,2,0.20325203252031798,49.034709385910865,97.38,3074.0,33.0,13653.8
10,Australie,5,1.2249979918065756,67.23095525997581,107.51,3394.0,16.0,49455.5
11,Autriche,5,0.7198290406028596,60.14037006653906,109.71,3699.0,114.0,55833.3
12,Azerbaïdjan,2,0.9849246231155684,35.489325723948426,94.62,3145.0,35.0,14439.3
13,Bahamas,2,0.7772020725388629,65.59666748345994,81.62,2650.0,26.0,37100.4
14,Bangladesh,1,1.0342242079106612,20.534251065224517,61.02,2611.0,0.0,4753.7
15,Barbade,2,0.0,57.24818511796733,88.16,2941.0,2.0,15639.0
16,Belgique,5,0.4964291935202869,57.98327895595432,98.08,3774.0,303.0,51742.7
17,Belize,1,1.8276762402088753,43.60902255639098,71.82,2731.0,0.0,7251.9
18,Bolivie (État plurinational de),1,1.4093191226988377,47.87976382179281,74.52,2476.0,0.0,8724.5
19,Bosnie-Herzégovine,2,-0.6919374247894128,37.33507906133548,99.29,3317.0,12.0,14896.8
20,Botswana,1,2.2182786157941337,39.98592540464462,71.05,2532.0,5.0,17776.8
21,Brésil,5,0.7547656216432941,57.29177417690163,96.89,3289.0,3.0,14763.9
22,Bulgarie,2,-0.7373794668179223,50.759660246440966,83.59,2872.0,108.0,23191.6
23,Burkina Faso,1,2.8859298263379074,13.520218308112131,80.62,2748.0,0.0,2178.3
24,Burundi,1,3.1785077362091796,6.411201179071481,40.71,1775.0,0.0,751.7
25,Bélarus,2,-0.01057865227970245,55.830467103073346,90.13,3264.0,11.0,19283.1
26,Bénin,1,2.751414888985626,19.71830985915493,63.19,2755.0,117.0,3287.3
27,Cabo Verde,1,1.1029411764705843,35.841694537346704,71.76,2588.0,13.0,7171.8
28,Cambodge,1,1.4584615384615418,29.111445783132524,66.4,2708.0,15.0,4388.8
29,Cameroun,1,2.61738578680204,15.705128205128203,71.76,2750.0,2.0,3642.3
30,Canada,5,0.9062710721510436,56.10708310094813,107.58,3528.0,177.0,49006.7
31,Chili,5,1.1906668802392106,53.03517803517804,93.24,3064.0,160.0,24967.6
32,Chine,3,0.4286757783110273,39.095083221733304,104.54,3304.0,1567.0,16361.5
33,Chine - RAS de Hong-Kong,3,0.8681497558328921,72.97739672642244,128.3,3262.0,821.0,59586.2
34,Chine - RAS de Macao,4,1.2658227848101333,65.15640860016609,108.37,3311.0,26.0,127162.0
35,Chypre,5,0.8410428931875602,49.76133651551312,92.18,3055.0,14.0,40226.8
36,Colombie,2,1.3652564386540833,52.01992252351965,72.28,2971.0,90.0,14585.3
37,Comores,1,2.2836538461538547,25.694573932500465,53.63,2314.0,15.0,3059.5
38,Congo,1,2.612509534706331,49.14018691588785,53.5,2181.0,113.0,3842.8
39,Costa Rica,2,0.9801960392078479,56.39769805314069,81.67,3005.0,15.0,20805.3
40,Croatie,5,-0.6256015399422554,60.764718661742336,92.06,3097.0,26.0,28753.5
41,Côte d'Ivoire,1,2.584865770473499,24.272167692563634,60.11,2873.0,1.0,5212.6
