,Pays,PC1,PC2,PC3,Cluster
0,Afghanistan,2.686171491936701,0.21863457138106082,0.10591020140152932,1
1,Afrique du Sud,-0.16237226606778385,1.907040654151518,-0.38547354671050427,2
2,Albanie,-1.675257446915276,-0.8466137732776131,-0.7451574859278085,5
3,Algérie,0.25237538007226595,-0.3209186785932327,0.702526615916637,2
4,Allemagne,-3.332290189937262,3.1237023270991373,0.14821976400143555,3
5,Angola,2.2139921879482047,1.622221852293963,0.7112048912533235,1
6,Antigua-et-Barbuda,-0.13317982964015307,-0.5422928790942942,-0.3711687909420489,2
7,Arabie saoudite,-1.2459274040478894,2.5488440147289837,0.8888061458160111,3
8,Argentine,-1.695160606238489,-0.7858199139364141,0.1076975201342958,5
9,Arménie,-0.8803713876672824,-0.567671559759568,-0.7396795123148536,2
10,Australie,-2.3061791811130186,-0.7235189746345557,0.979883337032832,5
11,Autriche,-2.8657344660143513,-0.3155794710110898,0.8857898296581374,5
12,Azerbaïdjan,-0.262959591282906,-0.3356601267927495,-0.061943941964378565,2
13,Bahamas,-0.8124900888576599,-0.5060945735872745,-0.13813705896828982,2
14,Bangladesh,1.7128513017454399,-0.12980735672790622,-0.630738453626781,1
15,Barbade,-0.844620207155472,-0.7428819839285771,-1.000676937448437,2
16,Belgique,-2.7753011415850306,0.5722695889564648,0.4649810056933898,5
17,Belize,0.9291922208586355,-0.3163410878896725,0.007740212114820633,1
18,Bolivie (État plurinational de),0.8393305800543162,-0.3772017775061468,-0.3630082964785656,1
19,Bosnie-Herzégovine,-1.1707708391300886,-0.7021105108606702,-1.177858643608036,2
20,Botswana,1.170627643266537,-0.1603470131226802,0.4872532271901594,1
21,Brésil,-1.1265156831812475,-0.7443728704886923,-0.26493106620363743,5
22,Bulgarie,-0.9899649449403413,-0.2416158874540216,-1.4416483461744085,2
23,Burkina Faso,2.0149304419287426,0.037748215185491076,0.9242660994836679,1
24,Burundi,4.259409124942373,0.46862925265903466,0.4501083383133591,1
25,Bélarus,-1.2712409800155862,-0.7409276990056975,-0.7789961209980022,2
26,Bénin,2.062947939620632,0.5775306937243531,0.6089378260853522,1
27,Cabo Verde,1.0328541746968838,-0.24826537942008298,-0.5406797261958913,1
28,Cambodge,1.3945708836657846,-0.1323976069362261,-0.3067768274702189,1
29,Cameroun,2.0288484050601103,0.03835237775317233,0.6750419255417964,1
30,Canada,-2.3780880646310187,0.05340751580662373,0.7661446031113984,5
31,Chili,-0.8825161727241845,0.13026197587556615,0.12803152253503644,5
